COD_S11,GENDER,STRATUM,SISBEN,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,SCHOOL_NAT,SEL,SEL_IHE
SB11201320415857,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201320415920,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,2,3
SB11201320415980,F,Stratum 1,Level 1,No,No,No,No,No,No,Yes,No,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201320415990,M,Stratum 1,Level 1,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,2,2
SB11201320416046,M,Stratum 2,Level 1,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201320416083,F,Stratum 2,Level 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,4,2
SB11201320416128,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,4
SB11201320416157,F,Stratum 1,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,4,2
SB11201320416194,M,Stratum 2,Level 2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,3,2
SB11201320416227,M,Stratum 3,Level 2,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,3,2
SB11201320416273,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,3
SB11201320416372,M,Stratum 2,Level 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201320416374,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201320416575,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201320416916,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,2,2
SB11201320416983,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201320417072,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,4
SB11201320417126,F,Stratum 1,Level 1,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,2
SB11201320417596,M,Stratum 2,It is not classified by the SISBEN,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201320417782,M,Stratum 2,Level 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,1,2
SB11201320417907,F,Stratum 2,Level 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,1,3
SB11201320417999,M,Stratum 3,It is not classified by the SISBEN,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320418016,M,Stratum 2,It is not classified by the SISBEN,No,No,Yes,No,No,No,No,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,1,2
SB11201320418221,F,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201320418251,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Between 3 and less than 5 LMMW,PRIVATE,4,3
SB11201320418386,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,2
SB11201320418410,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,4
SB11201320418470,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10 or more LMMW,PRIVATE,4,4
SB11201320418496,M,Stratum 1,Level 1,No,No,No,No,No,No,No,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,2
SB11201320418504,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201320418548,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,4,4
SB11201320418575,F,Stratum 2,Level 2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PUBLIC,2,2
SB11201320418583,F,Stratum 2,Level 1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201320418755,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201320419143,F,Stratum 1,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,4
SB11201320419234,M,Stratum 2,Level 3,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201320419235,F,Stratum 2,Level 2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320419372,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201320419400,M,Stratum 1,Level 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201320419498,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,3,2
SB11201320419898,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Between 5 and less than 7 LMMW,PUBLIC,3,2
SB11201320420009,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,3,2
SB11201320420023,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,4,4
SB11201320420228,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,3,4
SB11201320420472,M,Stratum 2,Level 2,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,3,2
SB11201320420577,F,Stratum 2,Level 2,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,4,2
SB11201320420616,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201320420626,F,Stratum 2,Level 2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201320420769,M,Stratum 2,It is not classified by the SISBEN,No,No,No,No,No,No,No,No,No,No,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201320420780,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,2
SB11201320420882,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201320421020,M,Stratum 2,Level 2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,1,2
SB11201320421054,M,Stratum 1,Level 1,No,No,No,No,Yes,No,Yes,No,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,1
SB11201320421073,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320421132,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201320421205,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,2,4
SB11201320421285,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,4
SB11201320421553,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201320421831,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,1
SB11201320422211,M,Stratum 3,It is not classified by the SISBEN,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,PRIVATE,1,2
SB11201320422402,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,1,2
SB11201320422429,M,Stratum 1,Level 1,Yes,Yes,No,No,No,No,No,No,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,4
SB11201320422441,M,Stratum 4,Level 3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,1,2
SB11201320422483,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201320422512,F,Stratum 1,Level 1,No,No,Yes,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,1
SB11201320422797,M,Stratum 3,Level 3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,4,4
SB11201320423071,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PUBLIC,4,2
SB11201320423299,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201320423315,M,Stratum 1,Level 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320423342,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,4
SB11201320423530,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201320423700,M,Stratum 2,Level 1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,2,3
SB11201320423810,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320423930,F,Stratum 1,Level 1,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201320424056,M,Stratum 1,Level 1,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Between 3 and less than 5 LMMW,PUBLIC,2,2
SB11201320424095,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,2
SB11201320424196,M,Stratum 1,Level 1,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201320424392,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,3,1
SB11201320424435,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201320424455,M,Stratum 3,Level 3,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,1,1
SB11201320424548,M,Stratum 2,Level 1,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,1
SB11201320424567,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,4,2
SB11201320424614,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,1,1
SB11201320424855,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201320424963,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PUBLIC,4,2
SB11201320425031,F,Stratum 3,It is not classified by the SISBEN,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,3,4
SB11201320425086,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Between 3 and less than 5 LMMW,PRIVATE,2,4
SB11201320425371,M,Stratum 2,Level 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,3,2
SB11201320425733,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320425778,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,1
SB11201320425808,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201320425855,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320425947,M,Stratum 1,Level 1,No,No,No,Yes,No,No,Yes,Yes,No,No,less than 1 LMMW,PUBLIC,1,2
SB11201320425992,F,Stratum 1,Level 1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,1
SB11201320426228,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,3,2
SB11201320426409,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201320426478,M,Stratum 1,Level 1,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320426533,M,Stratum 2,Level 2,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,4
SB11201320426553,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,2
SB11201320426714,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,3
SB11201320426725,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320427052,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201320427077,F,Stratum 3,It is not classified by the SISBEN,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,4
SB11201320427160,F,Stratum 3,Level 3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201320427469,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201320427582,F,Stratum 1,Level 1,No,No,No,No,No,No,No,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,1,2
SB11201320427688,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201320427717,M,Stratum 2,Level 1,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201320427722,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,4
SB11201320427745,F,Stratum 6,It is not classified by the SISBEN,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,4,2
SB11201320427792,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201320427797,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Between 2 and less than 3 LMMW,PUBLIC,4,2
SB11201320427814,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201320427978,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,PRIVATE,4,3
SB11201320427986,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10 or more LMMW,PRIVATE,4,4
SB11201320427987,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,4
SB11201320428040,M,Stratum 1,Level 1,No,No,No,No,No,No,Yes,No,Yes,No,less than 1 LMMW,PUBLIC,1,1
SB11201320428201,M,Stratum 1,Level 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,2
